voyageID,captainName,rank,fromPlace,toPlace,voyageStartDate,nationality,shipName,shipType,companyName
17606,E. Ippius Fockens,KLtz,Aguadilla,St. Juan de Porte Rico,1850-05-02,Dutch,Venus,Brik,Marine
17607,G. Slichtenbree,Kapitein,Akijab,Nieuwediep,1848-05-30,Dutch,Eolus,,
17608,ANTONIO POSADAS,CAPITAN,ALGECIRAS,CDIZ,1782-10-10,Spanish,EL RAYO,NAVO,
17609,H. Hofmeijer,Kapitein,Algoa Baai,Nederland,1818-03-13,Dutch,Amsterdam,,ADM
17610,H. Hofmeijer,Kapitein,Allerheiligen Baaij,Tafelbaai,1816-01-10,Dutch,Amsterdam,,MER
17611,P. Melvill,Ktz,Allicanten,Lissabon,1780-07-13,Dutch,Castor,Fregat,ADM
17612,G. W. Moll,Kapitein,Amboina,Ternate,1838-07-23,Dutch,Hippomenes,Korvet,MER
17613,,,Ambon,Ambon,1825-08-15,Dutch,Maria Reigersbergen,Fregat,ADM
17614,N.L. Koops,KLtZ,Ambon,Soerabaja,1834-09-11,Dutch,Ajax,Korvet,ADM
17615,C. Eeg,KLtz,Ambon,Soerabaya,1825-08-18,Dutch,Pollux,,ADM
17616,,,Ambon,Sourabaija,1825-08-15,Dutch,Maria Reigersbergen,Fregat,ADM
17617,N.L. Koops,KLtZ,Ambon,Ternatten,1834-07-04,Dutch,Ajax,Korvet,ADM
17618,Gerhard Aalbers,Kapitein,Amsterdam,Batavia,1789-04-14,Dutch,Zwaluw,Brik,ADM
17619,Hoffman,,Amsterdam,Batavia,1835-04-01,Dutch,Henriette Clasina,,
17620,Hoffman,,Amsterdam,Batavia,1836-04-15,Dutch,Henriette Clasina,,
17621,H. Rollfs,Kapitein,Amsterdam,Batavia,1837-12-08,Dutch,Stad Utrecht,,
17622,H. Rollfs,Kapitein,Amsterdam,Batavia,1838-12-18,Dutch,Stad Utrecht,,
17623,H. Rollfs,Kapitein,Amsterdam,Batavia,1839-12-06,Dutch,Stad Utrecht,,
17624,F.H.J. Taski,Kapitein,Amsterdam,Batavia,1844-03-22,Dutch,Stad Utrecht,,
17625,F.H.J. Taski,Kapitein,Amsterdam,Batavia,1845-05-26,Dutch,Stad Utrecht,,
17626,Duntjer,Kapitein,Amsterdam,Batavia,1845-07-01,Dutch,Nassau,,
17627,Duntjer,Kapitein,Amsterdam,Batavia,1846-07-12,Dutch,Nassau,,
17628,F.H.J. Taski,Kapitein,Amsterdam,Batavia,1847-05-05,Dutch,Stad Utrecht,,
17629,F.H.J. Taski,Kapitein,Amsterdam,Batavia,1848-09-02,Dutch,Stad Utrecht,,
17630,Ten Boekel,Kapitein,Amsterdam,Batavia,1849-07-01,Dutch,Nassau,,
17631,B. Bakker,Kapitein,Amsterdam,Batavia,1853-03-14,Dutch,Oost-Indi Packet,,
17632,G. Mulder,Kapitein,Amsterdam,Batavia,1853-08-05,Dutch,Straat Bali,,
17633,Velthoven,Kapitein,Amsterdam,Batavia-Soerabaya,1846-05-30,Dutch,Prins Veldmaarschalk,,
17634,Dirk Hallersteede,Schrijver,Amsterdam,Curacao,1754-11-18,Dutch,Dolphijn,,ADM
17635,Dirk Hallersteede,Schrijver,Amsterdam,Curacao,1755-04-27,Dutch,Dolphijn,,ADM
17636,Geweldige,,Amsterdam,Curacao,1760-09-05,Dutch,Phoenix,,MER
17637,Van Helsdinge,commandant,Amsterdam,Funchal,1771-01-11,Dutch,Boreas,6th Rate,ADM
17638,C.D. Hartman,1e schrijver,Amsterdam,Kaapstad,1802-09-26,Dutch,Spion,,MAR
17639,J.G. Reinitz,Kapitein,Amsterdam,Liverpool,1853-04-14,Dutch,Java Koerier,,
17640,J.G. Appel,Kapitein,Amsterdam,Liverpool,1853-05-12,Dutch,China,,
17641,P. Haagsma,Kapitein,Amsterdam,London,1853-11-19,Dutch,Doctrina et Amicitia,,
17642,W. Steffens,Kapitein,Amsterdam,Sourabaya,1840-10-11,Dutch,Egmond,,ADM
17643,Adam Ooms,Commandeur,Amsterdam,Spitsbergen,1769-04-06,Dutch,Agatha,,WHA
17644,Adam Ooms,Commandeur,Amsterdam,Spitsbergen,1770-04-07,Dutch,Agatha,,WHA
17645,J.S. Weerstand,Kapitein,Amsterdam,Suriname,1761-01-27,Dutch,Snoek en Both,Fregat,WIC
17646,J.A. van den Velden,Commandant eskader,Amsterdam,Suriname,1772-11-25,Dutch,Boreas,6th Rate,ADM
17647,Jan Pieter Hextel,Kapitein,Amsterdam,Suriname,1777-07-17,Dutch,Vr. Elisabeth & Anna Catherina,,MER
17648,Peter Parker,Captain,Anguilla,Carlisle Bay,1757-06-14,British,Woolwich,,RN
17649,John Dick,Captain,Anguilla,Halifax,1808-06-23,British,Penelope,5th rate,RN
17650,Patrick Fothringham,Captain,Anguilla,Kinsale,1767-01-20,British,Martin,Sloop,RN
17651,Peregrine Berlie,Captain,Anguilla,Plymouth,1764-06-22,British,Shannon,5th Rate,RN
17652,,,Anjango,UK,1753-04-07,British,Pelham,,RN
17653,William Ranier,Captain,Anjango Road,Tillicherry Flag,1750-11-12,British,Vigilant,Ship o.t. Line,RN
17654,Henry Kent,Captain,Anjengo,Cape of Good Hope,1750-03-05,British,Dragon,,EIC
17655,Richard Hill,Captain,Anjengo,Portsmouth,1768-02-01,British,Worcester,,EIC
17656,John Tedd,Author,Anjengo,St Helena,1751-03-05,British,Ilchester,,EIC
17657,,,Anjengo,St Helena,1756-05-01,British,Pelham,,RN
17658,John Allen,Captain,Anjengo,UK,1766-05-03,British,Clive,,EIC
17659,Kievyt,Kapitein,Anjer,Sambvangan,1849-08-04,Dutch,Van Oldenbarneveld,,MER
17660,A. van Dalen,Kapitein,Anjer,Texel,1827-10-10,Dutch,Waterloo,Linieschip,MAR
17661,Richard Edwards,Captain,Annabona,Barbados,1755-05-18,British,Gosport,5th Rate,RN
17662,Percy Grace,Captain,Annabona,Sierra Leone,1823-01-03,British,Cyrene,6th Rate,RN
17663,Charles Woolsey,Captain,Annabona,St Helena,1781-09-18,British,Magnanime,3rd Rate,RN
17664,Thomas Male,Captain,Annabona,UK,1768-04-25,British,Hound,Sloop,RN
17665,John Hamilton,Captain,Anna de Chaces,Spithead,1769-11-22,British,Merlin,Sloop,RN
17666,C. Eeg,KLtz,Anna Maria,Ambon,1825-05-26,Dutch,Pollux,,ADM
17667,,,Antigua,Barbados,1754-10-16,British,Tryal,Sloop,RN
17668,Jonathan Falkingham,Captain,Antigua,Barbados,1754-10-16,British,Tryal,Sloop,RN
17669,James Cumming,Captain,Antigua,Barbados,1779-07-01,British,Aurora,,RN
17670,William Compton,Captain,Antigua,Bermuda,1803-02-19,British,Lilly,sloop,RN
17671,Julian Legge,Captain,Antigua,Charles Town,1753-07-13,British,Shoreham,6th Rate,RN
17672,Charles Phipps,Captain,Antigua,Delaware,1777-03-22,British,Perseus,6th Rate,RN
17673,A Scott,Captain,Antigua,Falmouth,1776-04-18,British,Lynx,Korvet,RN
17674,John Stuart,Captain,Antigua,Gibraltar,1805-06-14,British,Decade,5th Rate,RN
17675,Thomas Hankenson,Captain,Antigua,Lizard,1755-08-15,British,Badger,Snow,RN
17676,Skeffington Lutwidge,Captain,Antigua,New York,1780-08-25,British,Yarmouth,3rd Rate,RN
17677,George Bowen,Captain,Antigua,New York,1781-08-15,British,Montague,3rd Rate,RN
17678,William Scott,Captain,Antigua,New York,1782-08-18,British,Magicienne,5th Rate,RN
17679,James Douglas,Captain,Antigua,Plymouth,1784-01-25,British,Argo,5th rate,RN
17680,Captain Innes,Captain,Antigua,Portsmouth,1761-06-16,British,Arundel,6th Rate,RN
17681,Nathaniel Bateman,Captain,Antigua,Spithead,1764-06-06,British,Ludlow Castle,6th Rate,RN
17682,John Falkingham,Captain,Antigua,Spithead,1769-07-02,British,Lark,,RN
17683,Walter Stirling,Captain,Antigua,Spithead,1772-08-05,British,Portland,4th Rate,RN
17684,Thomas Pasley,Captain,Antigua,Spithead,1773-03-07,British,Seahorse,,RN
17685,James Cumming,Captain,Antigua,Spithead,1775-06-04,British,Deal Castle,6th Rate,RN
17686,James Worth,Captain,Antigua,Spithead,1775-06-12,British,Chatham,4th Rate,RN
17687,William OHara,Captain,Antigua,Spithead,1782-08-02,British,Janus,5th Rate,RN
17688,Sir William Chaloner Burnaby,Captain,Antigua,Spithead,1783-06-01,British,Diana,5th rate,RN
17689,Richard Fisher,Captain,Antigua,Spithead,1783-08-23,British,Caton,3rd Rate,RN
17690,Edward Cauldwell,Captain,Antigua,UK,1771-11-07,British,Squirrel,6th Rate,RN
17691,Peter Parker,Captain,Antigua ,England,1759-05-14,British,Woolwich,,RN
17692,A. Bezemer,Kapitein,Antwerpen,Batavia,1820-11-13,Dutch,Auguste,Fregat,Particulier
17693,,,Antwerpen,Batavia,1824-02-22,Dutch,Vasco de Gama,,Particulier
17694,,,Antwerpen,Batavia,1825-01-24,Dutch,Vasco de Gama,,Particulier
17695,C. Visman,Kapitein,Antwerpen,Batavia,1847-08-10,Dutch,Luciparas,,
17696,A. Bezemer,Kapitein,Antwerpen,Rio de Janeiro,1817-12-04,Dutch,Fanny,,
17697,A. Bezemer,Kapitein,Antwerpen,Rio de Janeiro,1818-08-19,Dutch,Fanny,,
17698,Jacobus Boelen,Kapitein,Arika,Guayaquil,1827-05-07,Dutch,Wilhelmina en Maria,Fregatschip,MER
17699,Jacobus Boelen,Kapitein,Arika,Karakokoa,1827-11-17,Dutch,Wilhelmina en Maria,Fregatschip,MER
17700,Thomas Parker,Captain,Ascension,Cape,1757-05-08,British,Princess Augusta,,EIC
17701,John Brooks,Captain,Ascension,Plymouth,1778-10-22,British,Belleisle,3rd Rate,RN
17702,J. F. D. Bouricius,Kapitein ter Zee,Ascension,Rio de Janeiro,1850-05-23,Dutch,Prins Van Oranje,Fregat,Marine
17703,Hyde Parker,Captain,Ascension,Spithead,1764-06-08,British,Baleine,5th Rate,RN
17704,J. Alms,Captain,Ascension,Spithead,1784-05-13,British,Monmouth,3rd Rate,RN
17705,Digby Dent,Captain,Ascension,St Helena,1776-05-08,British,Arethusa,5th Rate,RN
17706,Francis Reynolds,Captain,Ascension,Towards Equator,1772-05-18,British,Weazle,Sloop,RN
17707,Richard Tiddeman,Captain,"Augustine Bay, Madagascar",Bombay,1758-08-29,British,Grafton,3rd Rate,RN
17708,Richard Hughes,Captain,"Augustine Bay, Madagascar",Calicut,1759-09-02,British,Falmouth,4th Rate,RN
17709,J.F.G. de la Perouse,Kapitein,Avatscha,Nouvelle Hollande,1787-10-01,French,La Boussole,,
17710,,,Axim,Paramaribo,1767-11-10,Dutch,Vrouwe Johanna Cores,Fregat,MCC
17711,,,Axim,Paramaribo,1769-11-08,Dutch,Vrouwe Johanna Cores,Fregat,MCC
17712,"J,F. van Capelle",Kapitein,Azoren,Hellevoetsluis,1783-09-03,Dutch,Ceres,,ADM
17713,C. Neurenberg,Kapitein,Azoren,Hellevoetsluis,1840-12-05,Dutch,Soerabaya,,
17714,Henry Blackwood,Captain,Azores,Cork,1805-04-12,British,Euryalus,5th Rate,RN
17715,A. Kuvel,Kapitein,Baai Fals,Straat Sunda,1793-09-24,Dutch,Amazone,Fregat,ADM
17716,H. Hartman,Kapitein,Baai Falso,Batavia,1789-07-31,Dutch,Bellona,,ADM
17717,,,Baai Jacomel,Jamaica,1841-07-31,Dutch,Venus,Brik,MAR
17718,A.A. Buyskes,Luijtenant,Baaij van Algoa,Caap de Goede Hoop,1792-08-07,Dutch,Havick,Fregat,ADM
17719,,,Baai van Punto,Batavia,1786-10-22,Dutch,Ceres,,ADM
17720,ALBERTO DE OLANDO,CAPITAN,BAHA DE CDIZ,BAHA DE CDIZ,1779-06-22,Spanish,EL GALLARDO,NAVO,
17721,JUAN RODRGUEZ DE VALCRCEL,CAPITAN,BAHA DE CDIZ,BAHA DE CDIZ,1779-06-22,Spanish,SAN JULIAN,NAVO,
17722,Henry Dennis,Author,Bahamas,Spithead,1756-05-28,British,Severn,,RN
17723,George Brisac,Captain,Bahia,False Bay,1795-09-09,British,Sphynx,6th rate  ,RN
17724,N.L. Koops,KLtZ,Bahia de Todos los Santos,Batavia,1833-12-12,Dutch,Ajax,Korvet,ADM
17725,H. Bruhn,Kapitein,Bali,Rotterdam,1832-11-06,Dutch,Anthony,,
17726,B. van der Tak,Kapitein,Bali,Rotterdam,1834-02-01,Dutch,Anthony,,
17727,Richard Doveton,Captain,Bali,St Helena,1779-06-14,British,Glatton,,EIC
17728,John Blanshard,Captain,Bali,St Helena,1781-03-11,British,York,,EIC
17729,Roger Mainwaring,Captain,Bali (Java),UK,1760-02-23,British,Tilbury,,EIC
17730,Pvt de la Croix ,Cdt.,Baltimore,Brest,1783-10-09,French,La Pintade,,
17731,G. W. Moll,Kapitein,Banda,Amboina,1838-06-27,Dutch,Hippomenes,Korvet,MER
17732,N.L. Koops,KLtZ,Banda,Ambon,1834-08-26,Dutch,Ajax,Korvet,ADM
17733,Ten Boekel,Kapitein,Bangoewangie,Amsterdam,1849-12-16,Dutch,Nassau,,
17734,F.J. Hoffman,,Bangoewangie,Nieuwediep,1849-02-08,Dutch,Margaretha Simonette,,
17735,J.L. de Boer,Kapitein,Bangowangie,Brouwershaven,1848-12-26,Dutch,Oud Nederland,Fregat,
17736,D. Grim,Kapitein,Banjoemangie,Nieuwediep,1837-01-11,Dutch,Susanna,,
17737,S. Veenstra,,Banjoewangi,Nieuwediep,1836-03-24,Dutch,Twee Cornelissen,,MER
17738,C. Visman,Kapitein,Banjoewangi,Nieuwediep,1848-01-31,Dutch,Luciparas,,
17739,M.B. Hoffman,Kapitein,Banjoewangie,Brouwershaven,1850-12-25,Dutch,Nieuw Lekkerland,,MER
17740,Kievyt,Kapitein,Banjoewangie,Holland,1850-01-26,Dutch,Van Oldenbarneveld,,MER
17741,S. Veenstra,,Banjoewangie,Nieuwediep,1838-03-04,Dutch,Twee Cornelissen,,
17742,S. van Duijn,Kapitein,Banjoewangie,Nieuwediep,1840-01-30,Dutch,Javaan,,
17743,S. van Duijn,Kapitein,Banjoewangie,Nieuwediep,1841-02-01,Dutch,Javaan,,
17744,J. Schut,Kapitein,Banjoewangie,Nieuwediep,1842-12-18,Dutch,Walvisch,,
17745,C.P. Kuiper,Kapitein,Banjoewangie,Nieuwediep,1845-02-02,Dutch,Admiraal Jan Evertsen,,
17746,J. Hakker,Kapitein,Banjoewangie,Nieuwediep,1845-12-11,Dutch,Luciparas,,
17747,F.J. Hoffman,,Banjoewangie,Nieuwediep,1848-02-14,Dutch,Margaretha Simonette,,
17748,J. Schut,Kapitein,Banjoewangie,Nieuwediep,1849-01-20,Dutch,Walvisch,,
17749,P. J. Kerkhoven,Kapitein,Banjoewangie,Nieuwediep,1850-01-10,Dutch,Doctrina et Amicitia,,
17750,J. Kloppenburg,Kapitein,Banjoewangie,Nieuwediep,1851-11-18,Dutch,Luciparas,,
17751,Brandligt,Kapitein,Banjoewangie,Tafelbaai,1849-11-24,Dutch,Rhijn,,
17752,H.J. Jolly,KLtz,Banjoewangie,Texel,1847-02-03,Dutch,Boreas,6th Rate,MAR
17753,W.J. Jolly,Kapitein,Banjoewangie,Texel,1847-02-03,Dutch,Boreas,6th Rate,MAR
17754,F.H.J. Taski,Kapitein,Banjouwangie,Amsterdam,1849-02-19,Dutch,Stad Utrecht,,
17755,C. Visman,Kapitein,Banjouwangie,Nieuwediep,1843-11-21,Dutch,Catharina Johanna,,
17756,Cuvel,Kapitein,Bantam,Kaap de Goede Hoop,1788-11-20,Dutch,Valk,Brik,ADM
17757,James Cumming,Captain,Barbados,Downs UK,1779-08-30,British,Aurora,,RN
17758,William Parker,Captain,Barbados,Gibraltar,1805-06-14,British,Amazon,5th Rate,RN
17759,Henry Bellow,Captain,Barbados,Halifax,1768-03-31,British,Beaver,Sloop,RN
17760,F Reynolds,Captain,Barbados,Montserrat,1769-12-27,British,Quebec,5th rate,RN
17761,L.L. Spengler,KLtZ,Barbados,Nederland,1816-06-03,Dutch,Irene,Brik,
17762,William Parker,Captain,Barbados,Newfoundland,1806-07-21,British,Amazon,5th Rate,RN
17763,John Stuart,Captain,Barbados,Plymouth UK,1806-08-13,British,Decade,5th Rate,RN
17764,Peter Parker,Captain,Barbados,Spithead,1756-07-26,British,Woolwich,,RN
17765,,,Barbados,Spithead,1780-01-09,British,Hornet,sloop,RN
17766,Issac George Manley,Captain,Barbados,Spithead,1789-05-13,British,Fairy,6th rate,RN
17767,James Cumming,Captain,Barbados (Cruising),Carlise Bay Barbados,1779-02-04,British,Aurora,,RN
17768,FRANCISCO ALESSON,TENIE NTE DE FRAGATA,BARCELONA,CARTAGENA,1846-12-12,Spanish,CORZO,FALUCHO,
17769,ANTONIO ZULUETA,CAPITAN,BARCELONA,MARAN,1848-07-28,Spanish,AUDAZ,BERGANTN,
17770,ANTONIO ZULUETA,CAPITAN,BARCELONA,VERACRUZ,1849-05-23,Spanish,AUDAZ,BERGANTN,
17771,Thomas Hardy,Captain,Barnstable Bay,Bermuda,1814-06-04,British,Ramilles,3rd rate,RN
17772,Francis Grant Gordon,Captain,Basse Terre,Antigua,1775-10-15,British,Argo,5th rate,RN
17773,Dulou,Cdt.,Basse Terre,Brest,1785-12-28,French,La Lourde,,
17774,William Parker,Captain,Basse Terre,Downs,1778-08-03,British,Deal Castle,6th Rate,RN
17775,Robert Faulkner,Captain,Basse Terre,Halifax,1794-04-30,British,Blanche,5th Rate,RN
17776,John Whitby,Captain,Basse Terre,Martinique,1800-10-25,British,Severn,,RN
17777,Sir Thomas Williams,Captain,Basse Terre,Plymouth,1808-02-20,British,Neptune,2nd rate,RN
17778,De Razily,Cdt.,Basse Terre,Rochefort,1768-06-25,French,Lisis,,
17779,Alexander Scott,Captain,Basse Terre,Spithead,1774-03-04,British,Lynx,Korvet,RN
17780,William Garnier,Captain,Basse Terre,Spithead,1776-08-03,British,Argo,5th rate,RN
17781,John Scaife,Captain,Basse Terre,UK,1760-08-24,British,Chesterfield,5th Rate,RN
17782,Edward Fellowes,Captain,Basse Terre Roads,Spithead,1797-05-22,British,Alarm,5th rate,RN
17783,John Harvey,Captain,"Basse Terre Road, St Kitts",Spithead,1801-06-21,British,Amphitrite,,RN
17784,A. Schaap,Kapitein,Batavia,Amsterdam,1834-08-06,Dutch,Rhoon en Pendrecht,,
17785,Hoffman,,Batavia,Amsterdam,1835-12-08,Dutch,Henriette Clasina,,
17786,Hoffman,,Batavia,Amsterdam,1836-12-08,Dutch,Henriette Clasina,,
17787,Hoffman,,Batavia,Amsterdam,1837-02-09,Dutch,Henriette Clasina,,
17788,H. Rollfs,Kapitein,Batavia,Amsterdam,1838-06-10,Dutch,Stad Utrecht,,
17789,H. Rollfs,Kapitein,Batavia,Amsterdam,1839-06-08,Dutch,Stad Utrecht,,
17790,F.H.J. Taski,Kapitein,Batavia,Amsterdam,1844-09-20,Dutch,Stad Utrecht,,
17791,Duntjer,Kapitein,Batavia,Amsterdam,1845-01-20,Dutch,Nassau,,
17792,F.H.J. Taski,Kapitein,Batavia,Amsterdam,1845-11-24,Dutch,Stad Utrecht,,
17793,Duntjer,Kapitein,Batavia,Amsterdam,1847-02-22,Dutch,Nassau,,
17794,F.H.J. Taski,Kapitein,Batavia,Amsterdam,1847-10-04,Dutch,Stad Utrecht,,
17795,Duintjer,Kapitein,Batavia,Amsterdam,1848-08-19,Dutch,Nassau,,
17796,B. Bakker,Kapitein,Batavia,Amsterdam,1853-08-10,Dutch,Oost-Indi Packet,,
17797,J.G. Reinitz,Kapitein,Batavia,Amsterdam,1854-01-12,Dutch,Java Koerier,,
17798,A. Bezemer,Kapitein,Batavia,Antwerpen,1820-05-01,Dutch,Auguste,Fregat,Particulier
17799,A. Bezemer,Kapitein,Batavia,Antwerpen,1821-09-22,Dutch,Auguste,Fregat,Particulier
17800,J. Boelen,Kapitein,Batavia,Antwerpen,1821-12-16,Dutch,Delphina,,
17801,,,Batavia,Antwerpen,1824-07-12,Dutch,Vasco de Gama,,Particulier
17802,A. Bezemer,Kapitein,Batavia,Antwerpen,1826-02-27,Dutch,Vasco de Gama,,Particulier
17803,C. Neurenberg,Kapitein,Batavia,Azoren,1839-10-03,Dutch,Soerabaya,,
17804,H. van Braam,,Batavia,Bengalen,1767-07-31,Dutch,Vrouwe Cornelia Hillegonda,,VOC
17805,A. Schaap,Kapitein,Batavia,Brouwershaven,1839-01-21,Dutch,Rhoon en Pendrecht,,MER
17806,D. Charlau,Kapitein,Batavia,Brouwershaven,1842-08-30,Dutch,Europa,,MER
17807,C.J. Blok,Kapitein,Batavia,Brouwershaven,1848-01-06,Dutch,s-Gravenhage,,MER
17808,Jonker,Kapitein,Batavia,Brouwershaven,1849-11-07,Dutch,Maria Elisabeth,,
17809,W.H. Kramer,Kapitein,Batavia,Brouwershaven,1850-03-27,Dutch,Watergeus,,
17810,K. van de Erve,Kapitein,Batavia,Brouwershaven,1851-05-29,Dutch,Albrecht Beijling,,
17811,,,Batavia,Brouwershaven,1852-08-04,Dutch,Europa,,
17812,P.J. Boursse Wils,Kapitein,Batavia,Brouwershaven,1852-11-18,Dutch,Jacoba,,
17813,M.B. Hoffman,Kapitein,Batavia,Brouwershaven,1853-03-04,Dutch,Nieuw Lekkerland,,
17814,D. Keus,Kapitein,Batavia,Brouwershaven,1853-09-01,Dutch,Europa,,
17815,,,Batavia,Cadiz,1780-11-01,Dutch,Vrouwe Anthonetta Coenrardina,,VOC
17816,Thomas Parker,Captain,Batavia,Canton,1754-06-16,British,Princess Augusta,,EIC
17817,Philip Affleck,Captain,Batavia,Canton,1765-02-23,British,Argo,5th rate,RN
17818,William Parks,Captain,Batavia,Cape of Good Hope,1750-05-13,British,Marlborough,,EIC
17819,Jacobus Buijs,KtZ,Batavia,Ceylon,1753-02-16,Dutch,Spaarzaamheid,,
17820,Jacob Pieter van Braam,Kapitein,Batavia,Ceylon,1785-05-07,Dutch,Utrecht,Fregat,ADM
17821,,,Batavia,Ceylon,1788-07-10,Dutch,Ceres,,ADM
17822,Osterloo,Kapitein,Batavia,Den Helder,1841-06-01,Dutch,Elise,Fregat,ADM
17823,W.L. Veerman,Luitenant 2e kl.,Batavia,Diego Garcia,1819-03-21,Dutch,Admiraal Evertsen,,ADM
17824,H.P. Visser,Kapitein,Batavia,Dordrecht,1835-04-19,Dutch,Dortenaar,Fregat,Particulier
17825,Buyskes,,Batavia,Europa,1809-11-29,Dutch,Havick,Fregat,
17826,Jan Bloem,Kapitein,Batavia,Gamron,1755-07-20,Dutch,Vlietlust,,
17827,Kievyt,Kapitein,Batavia,Grise,1849-12-07,Dutch,Van Oldenbarneveld,,MER
17828,Godfried Wargijn,Kapitein,Batavia,Hellevoetsluis,1756-01-13,Dutch,Jerusalem,,VOC
17829,Buijs,Kapitein,Batavia,Hellevoetsluis,1824-12-10,Dutch,Sirene,,ADM
17830,J.A. Pronk,,Batavia,Hellevoetsluis,1836-09-24,Dutch,Maria,,
17831,F.H. Ampt,KLtZ,Batavia,Hellevoetsluis,1839-04-27,Dutch,Castor,Fregat,ADM
17832,J.H. de Raes,Luitenant ter Zee,Batavia,Hellevoetsluis,1839-04-27,Dutch,Castor,Fregat,Marine
17833,R.J. Rijken,,Batavia,Hellevoetsluis,1839-11-18,Dutch,Johanna,,
17834,Van der Plaat,Kapitein ter Zee,Batavia,Hellevoetsluis,1841-05-16,Dutch,Nehalennia,Fregat,Marine
17835,W.A. Lans,,Batavia,Hellevoetsluis,1841-05-16,Dutch,Nehalennia,Fregat,MAR
17836,C. Schoewert,Kapitein,Batavia,Hellevoetsluis,1845-10-06,Dutch,Neerlands Koning,,
17837,A. van Wijk Jurriaanse,Kapitein,Batavia,Hellevoetsluis,1846-03-29,Dutch,Loopuijt,Bark,
17838,J.G. Schr_der,Kapitein,Batavia,Hellevoetsluis,1846-07-31,Dutch,Willem,,
17839,D. Hofker,Kapitein,Batavia,Hellevoetsluis,1853-11-16,Dutch,Estafette,Bark,
17840,Bruhn,Kapitein,Batavia,Helvoetsluis,1835-12-08,Dutch,Batavia,,MER
17841,Bruhn,Kapitein,Batavia,Helvoetsluis,1836-10-06,Dutch,Batavia,,MER
17842,,,Batavia,Holland,1839-04-26,Dutch,Unknown-08,,
17843,A. van Wijk,Kapitein,Batavia,Holland,1850-06-26,Dutch,Loopuijt,Bark,
17844,,,Batavia,Kaap de Goede Hoop,1750-01-26,Dutch,Polanen,,ADM
17845,Hilde Hendricksz Hoek,Kapitein,Batavia,Kaap de Goede Hoop,1750-01-26,Dutch,Polanen,,ADM
17846,,,Batavia,Kaap de Goede Hoop,1756-12-01,Dutch,Snoek,,ADM
17847,,,Batavia,Kaap de Goede Hoop,1769-12-19,Dutch,Westerveld,,VOC
17848,,,Batavia,Kaap de Goede Hoop,1772-02-24,Dutch,Welgeleegen,,VOC
17849,Engelbertus Lucas,Commandeur,Batavia,Kaap de Goede Hoop,1788-12-10,Dutch,Scipio,Fregat,ADM
17850,,,Batavia,Kaap de Goede Hoop,1821-11-04,Dutch,Irene,Brik,MAR
17851,A.P. Klein,,Batavia,Kaap de Goede Hoop,1851-05-12,Dutch,Magdalena,,
17852,A. van Dalen,Kapitein,Batavia,Kaapstad,1823-12-12,Dutch,Arend,,ADM
17853,P. Vis,Kapitein,Batavia,Kaapstad,1833-01-13,Dutch,Neerlands Koning,,
17854,N.L. Koops,KLtZ,Batavia,Kruisjende (bij Fanara),1834-10-16,Dutch,Ajax,Korvet,ADM
17855,A.P. Klein,,Batavia,London,1852-08-22,Dutch,Magdalena,,
