EntryYear,ShipName,Text
1817,ARETHUSA,"HMS Arethusa (1817) was a 46-gun fifth-rate launched in 1817, and renamed HMS Bacchus in 1844 upon her conversion into a hulk; she was broken up in 1883."
1849,ARETHUSA,HMS Arethusa (1849) was a 50-gun fourth-rate launched in 1849. She was fitted with screw propulsion in 1861 and became a training ship in 1874. She was broken up in 1934.
1778,ARETHUSA,Ushant 1778 & 1781
1796,ARETHUSA,St Lucia 1796
1807,ARETHUSA,Curacoa 1807
1758,ARGO,HMS Argo (1758) was a 28-gun sixth rate frigate launched in 1758 and broken up by 1776.
1780,ARGO,HMS Argo (1780) was a schooner purchased in 1780 and sold in 1783.
1781,ARGO,"HMS Argo (1781) was a 44-gun fifth rate launched in 1781. In 1783, she was captured by two French frigates, but was recaptured two days later by HMS Invincible. She was sold in 1816."
1799,ARGO,"HMS Argo (1833) was a 38-gun fifth rate, launched in 1799 as HMS Active. She was converted to harbour service in 1826, was renamed HMS Argo in 1833 and was broken up in 1860."
1799,ARGO,"HMS Argus (1799) was a 10-gun sloop, originally a French privateer, captured in 1799 and broken up in 1811."
1812,ARGO,"HMS Argus was to have been a 36-gun fifth-rate. She was ordered in 1812, but cancelled that same year."
1813,ARGO,HMS Argus (1813) was an 18-gun Cruizer class brig-sloop launched in 1813 and sold in 1827. The sale was subsequently cancelled and she was resold in 1828.
1831,ARGO,"HMS Argus was to have been an 18-gun sloop. She was laid down in 1831, but cancelled later that year."
1849,ARGO,HMS Argus (1849) was a wooden-hulled paddle sloop launched in 1849 and broken up in 1881.
1782,ARGO,"HMS Argonaut (1782) was a 64-gun third-rate, originally the French ship Jason, captured in 1782 in the West Indies and broken up in 1831."
1758,ARUNDEL,"HMS Warspite was a 74-gun third rate ship of the line (a new class of two-decker that formed the backbone of British fleets) of the Royal Navy, launched on 8 April 1758 at Deptford."
1764,ASIA,HMS Asia (1764) was a 64-gun third rate launched in 1764 and broken up in 1804.
1811,ASIA,"HMS Asia (1811) was a 74-gun third rate launched in 1811. She was renamed HMS Alfred in 1819, reduced to 50-guns in 1828 and broken up in 1865."
1824,ASIA,HMS Asia (1824) was an 84-gun second rate launched in 1824 She was used as a guardship from 1858 and was sold in 1908.
1773,ASSISTANCE,HMS Assistance (1747) was a 50-gun fourth rate launched in 1747 and sold in 1773.
1771,ASSISTANCE,HMS Assistance (1771) was a transport launched in 1771 and sold in 1802.
1781,ASSISTANCE,HMS Assistance (1781) was a 50-gun fourth rate launched in 1781 and wrecked in 1802.
1769,ASSISTANCE,"HMS Assistance was a prison ship, launched in 1769 as the 74-gun third rate HMS Royal Oak. She became a prison ship in 1796, was renamed HMS Assistance in 1805 and was broken up in 1815."
1753,ASSURANCE,HMS Assurance (1747) was a 44-gun fifth rate frigate launched in 1747 and wrecked in 1753.
1780,ASSURANCE,HMS Assurance (1780) was a 44-gun fifth rate frigate launched in 1780 and broken up in 1815.
1775,ATALANTE,"HMS Atalanta (1775) was a 14-gun sloop launched in 1775, renamed HMS Helena in 1801 and sold in 1802."
1797,ATALANTE,HMS Atalante (1797) was a 16-gun brig-sloop captured from the French in 1797 and wrecked in 1807.
1808,ATALANTE,HMS Atalante (1808) (or Atalanta) was an 18-gun sloop launched in 1808 and wrecked in 1813.
1814,ATALANTE,"HMS Atalanta (1814) was originally the letter of marque schooner Siro, which HMS Pelican captured in January 1814 and which the Royal Navy registered but sold apparently before she served in the Royal Navy, and which the USS Wasp captured in September 1814."
1816,ATALANTE,HMS Atalanta (1816) was a tender launched in 1816 and transferred to the Customs service the following year.
1836,ATALANTE,HMS Atalanta (1836) was a wooden paddle sloop launched in 1836 and broken up around 1850.
1847,ATALANTE,HMS Atalanta (1847) was a 16-gun brig launched in 1847 and broken up in 1868.
1844,ATALANTE,"HMS Atalanta was a 26-gun frigate launched in 1844 as HMS Juno. She was renamed HMS Mariner in January 1878 and then HMS Atalanta two weeks later. As a training ship, she disappeared in 1880 and was presumed to have foundered in a storm."
1782,ATLAS,"HMS Atlas (1782), a second rate ship of the line launched in 1782 and broken up in 1821."
1765,AUGUSTA,HMS Augusta (1736) was a 60-gun fourth rate launched in 1736 and broken up by 1765.
1763,AUGUSTA,HMS Augusta (1763) was a 64-gun third rate launched in 1763 and burnt in 1777.
1771,AUGUSTA,HMS Augusta (1771) was a yacht launched in 1771. She was renamed HMS Princess Augusta in 1773 and was sold in 1818.
1795,AUGUSTA,HMS Augusta (1795) was a gunboat and ex-barge purchased in 1795 and in service until at least 1801.
1806,AUGUSTA,HMS Augusta was to have been a 74-gun third rate. She was laid down in 1806 but was cancelled in 1809.
1819,AUGUSTA,"HMS Augusta (1819) was a schooner, formerly in civilian service under the name Policy. She was purchased in 1819 and sold in 1823."
1761,AUGUSTA,HMY Augusta was an eight-gun royal yacht launched in 1677 as HMY Charlotte. She was renamed HMY Augusta in 1761 and was broken up in 1771.
1757,AURORA,"HMS Aurora 1757 was a 36-gun fifth rate, formerly the French Abenakise. She was captured in 1757 and broken up in 1763."
1766,AURORA,HMS Aurora (1766) was a 32-gun fifth rate launched in 1766 and lost to a fire in 1770.
1777,AURORA,HMS Aurora (1777) was a 28-gun sixth rate launched in 1777 and sold in 1814.
1793,AURORA,"HMS Aurore was a French Navy 32-gun fifth rate handed over to the British at the capture of Toulon in 1793. She became a prison ship in 1799, and was broken up in 1803."
1809,AURORA,HMS Aurora (1809) was a 14-gun Indian sloop launched in 1809 and captured by the French the following year.
1808,AURORA,"HMS Aurora (1814) was a 38-gun fifth rate, originally the French frigate Clorinde (1808). She was captured in 1814 and broken up in 1851."
1809,AURORA,"See also: HCS Aurora, launched in 1809 for the British East India Company's naval arm, the Bombay Marine; last listed 1828"
1758,EOLUS,"HMS Aeolus (1758) was a 32-gun fifth-rate frigate launched in 1758. She was placed on harbour service in 1796, renamed HMS Guernsey in 1800, and was broken up in 1801."
1800,EOLUS,"HMS Aeolus (1800) was formerly the French ship Pallas, a 36-gun fifth rate, that a squadron captured in 1800 off the coast of France. She was renamed to Pique in 1801. She was sold for breaking up in 1819."
1801,EOLUS,HMS Aeolus (1801) was a 32-gun fifth-rate frigate launched in 1801 and broken up 1817.
1825,EOLUS,HMS Aeolus (1825) was a 46-gun fifth-rate frigate launched in 1825. She was used for harbour service from 1855 and was broken up in 1886.
1756,ETNA,HMS Etna (1756) was an 8-gun fireship purchased in 1756. She was converted into a sloop later that year and was sold in 1763.
1771,ETNA,HMS Etna (1771) was an 8-gun fireship purchased in 1771. She was renamed HMS Scorpion and converted into a sloop later that year and was sold in 1780.
1776,ETNA,HMS Aetna (1776) was an 8-gun bomb vessel launched in 1776 and broken up in 1784.
1796,ETNA,HMS Aetna (or Etna) was a French 20-gun Etna-class corvette that HMS Melampus and HMS Childers captured from the French in 1796. The Royal Navy rated her as a sixth rate and renamed her HMS Cormorant in 1797; she was wrecked in 1800.
1803,ETNA,HMS Aetna (1803) was an 8-gun bomb vessel purchased in 1803 and sold in 1816.
1824,ETNA,HMS Aetna (1824) was a 6-gun bomb vessel launched in 1824. She was converted to a survey ship in 1826 and was sold in 1846.
1833,GIER,"She was initially ordered from Pembroke Dockyard on 3 October 1833 as a 110-gun first rate to a design by Sir William Symonds. On 10 December 1834 the order for Algiers was changed to a 74-gun two decker, but this was changed once more to a 110-gun ship on 5 February 1839. The order was amended once more, to complete her as a 90-gun Albion-class ship of the line on 26 December 1840, and she was laid down at Plymouth Dockyard on 10 July 1843. Her designs were amended once more, and she was re-ordered on 25 April 1847 to a lengthened design. The Admiralty ordered that she be fitted with screw propulsion while under construction in 1852."
1762,BADGER,HMS Badger (1745) was a 14-gun sloop launched in 1745 and lost in 1762.
1776,BADGER,"HMS Badger (1776) was a 14-gun brig, purchased from civilian service in 1776, where she had been named Pitt. She was condemned in 1777."
1777,BADGER,HMS Badger (1777) was a brig purchased in 1777 and sold in 1784.
1794,BADGER,"HMS Badger (1794) was a 4-gun gunvessel, formerly a Dutch hoy, purchased in 1794 and sold in 1802."
1808,BADGER,"HMS Badger (1808) was 10-gun Cherokee-class brig-sloop launched in 1808. She was used as a mooring vessel from 1835, was beached in 1860 and broken up in 1864."
1799,BADGER,His Majesty's hired armed cutter Badger shared in the prize money for Dutch vessels captured at the Vlieter Incident on 30 August 1799.
1757,BALEINE,"She had previously been the French East Indiaman Baleine, built at Lorient to a design by Antoine Groignard and launched on 24 May 1757. She was cut out of Pondicherry during the Third Carnatic War by the boats of HMS Southsea Castle, part of Admiral Charles Stevens' squadron. Stevens purchased her for service with the Royal Navy the following month."
1757,BEAVER,"HMS Beaver (1757), 18, a sloop originally called Trudaine and operating as a French privateer, but captured in 1757 and renamed before being sold in 1761."
1761,BEAVER,"HMS Beaver (1761), 14, a sloop launched in 1761 and sold in 1783."
1795,BEAVER,"HMS Beaver (1795), 14, a sloop launched in 1795 and sold in 1808."
1809,BEAVER,"HMS Beaver (1809), 10, a Cherokee-class sloop launched in 1809 and sold in 1829"
1837,BEAVER,"HMS Beaver (1837), a wooden paddle packet originally operating as a Post Office vessel but transferred to the Royal Navy in 1837. It became a dockyard lighter in 1845."
1777,BEAVER,"HMS Beaver's Prize (or Beaver Prize), was the 24-gun Pennsylvania State privateer Oliver Cromwell, which Beaver captured in 1777. She was commissioned into the Royal Navy shortly thereafter. She was wrecked, with the loss of many of her crew, in 1780 in the harbour at St Lucia in a storm."
1757,BEAVER,"HMS Beaver (1757), 18, a sloop originally called Trudaine and operating as a French privateer, but captured in 1757 and renamed before being sold in 1761."
1761,BEAVER,"HMS Beaver (1761), 14, a sloop launched in 1761 and sold in 1783."
1795,BEAVER,"HMS Beaver (1795), 14, a sloop launched in 1795 and sold in 1808."
1809,BEAVER,"HMS Beaver (1809), 10, a Cherokee-class sloop launched in 1809 and sold in 1829"
1837,BEAVER,"HMS Beaver (1837), a wooden paddle packet originally operating as a Post Office vessel but transferred to the Royal Navy in 1837. It became a dockyard lighter in 1845."
1777,BEAVER,"HMS Beaver's Prize (or Beaver Prize), was the 24-gun Pennsylvania State privateer Oliver Cromwell, which Beaver captured in 1777. She was commissioned into the Royal Navy shortly thereafter. She was wrecked, with the loss of many of her crew, in 1780 in the harbour at St Lucia in a storm."
1760,BELLONA,"HMS Bellona was a 74-gun third rate, launched in 1760 and broken up in 1814."
1794,BELLONA,HMS Bellona was a 3-gun vessel purchased in 1794. She was used as a mud boat from 1799 and was broken up in 1805.
1806,BELLONA,"HMS Bellona was a 28-gun sixth rate, formerly the French privateer Bellone. She was captured in 1806, renamed HMS Blanche in 1809, and was broken up in 1814."
1812,BELLONA,"HMS Bellona was a 74-gun third rate launched in 1812 as HMS Indus. She was renamed HMS Bellona in 1818, used for harbour service from 1840 and was broken up in 1868."
1779,BLANCHE,HMS Blanche was a 36-gun fifth rate captured from the French in 1779. She foundered in 1780.
1786,BLANCHE,"HMS Blanche was a 32-gun fifth rate launched in 1786, at Bursledon and wrecked in 1799 off Holland."
1800,BLANCHE,HMS Blanche was a 36 gun fifth rate launched in 1800 and captured and burnt in 1805 by four French ships off Puerto Rico.
1804,BLANCHE,"HMS Blanche was a 38-gun fifth rate, previously the Spanish ship Amfitrite. She was captured by Sir Richard Strachan in HMS Donegal in 1804 and taken into service as HMS Amfitrite, and renamed HMS Blanche in 1805. She was wrecked off Ushant in 1807."
1806,BLANCHE,"HMS Blanche was a 28-gun sixth rate, previously the French privateer Bellone. HMS Powerful, assisted by Rattlesnake, captured her off Ceylon in the Action of 9 July 1806. She was taken into service as HMS Bellona and was renamed HMS Blanche in 1809, before being broken up in 1814."
1819,BLANCHE,HMS Blanche was a 46-gun fifth rate launched in 1819. She was used as a receiving hulk at Portsmouth from 1852 until she was broken up in 1865.
1757,BLANDFORD,"HMS Surprise - Replica of HMS Rose (1757), built in 1970."
1757,BOREAS,HMS Boreas was a 28-gun sixth rate launched in 1757 and declared obsolete and scrapped in 1770.
1774,BOREAS,"HMS Boreas was a 28-gun sixth rate launched in 1774, used as a slop ship from 1797 and sold in 1802."
1806,BOREAS,HMS Boreas was a Laurel-class post ship launched in 1806. She wrecked off the coast of Guernsey on 28 November 1807 with the loss of half her crew of 154 men.
1807,BOREAS,"HMS Boreas was to have been the name assigned to the captured Danish ship Havfru, after her acceptance into service in 1807 as HMS Havfruen. The name was not used though."
1752,BOSTON,"HMS Boston, a 24 gun sixth rate launched at Boston, Massachusetts in 1748 and broken up in 1752."
1756,BOSTON,"HMS Boston was a 44 gun fifth rate launched at Portsmouth, New Hampshire in 1749 as HMS America and renamed in 1756. The ship was sold in 1757."
1762,BOSTON,"HMS Boston, a 32 gun fifth rate launched at Rotherhithe in May 1762 and broken up in 1811."
1764,BOSTON,"HMS Boston, a 6 gun schooner constructed at Navy Island in 1764 for service on the Canadian Lakes. It was burnt in 1768."
1763,BOYNE,"HMS Boyne (1692) was an 80-gun second rate. This ship of the line was launched in 1692, rebuilt in 1739 and broken up in 1763. When under the command of Captain Dursley she helped take Gibraltar in 1704."
1766,BOYNE,HMS Boyne (1766) was a 70-gun third rate launched in 1766 and broken up in 1783.
1790,BOYNE,HMS Boyne (1790) was a 98-gun second rate launched in 1790. She was the flagship of Vice Admiral John Jervis in 1794. She caught fire and burnt at Spithead on 1 May 1795.
1810,BOYNE,HMS Boyne (1810) was a 98-gun second rate launched in 1810 and commanded first by Thomas Hastings and later Henry Chads. She was renamed HMS Excellent (shore establishment) in 1834 and Queen Charlotte in 1859. Her career ended in 1861.
1758,BRIDGEWATER,HMS Bridgewater was a 24-gun sixth rate launched in 1744. She was run ashore and burnt in 1758 to avoid being captured by the French.
1768,BRISTOL,"HMS Bristol was a 54-gun fourth-rate launched in 1711. She underwent a rebuild in 1746 which rearmed her with 50 guns, and was broken up in 1768."
1775,BRISTOL,"HMS Bristol was a 50-gun fourth-rate launched in 1775. She served in the American War of Independence, was used as a prison ship after 1794, and was broken up in 1810."
1812,BRISTOL,Bristol was originally the 64-gun third rate HMS Agincourt. She was renamed HMS Bristol when she became a prison ship in 1812. She was sold in 1814.
1762,BRITANNIA,"HMS Britannia (1762) was a 100-gun first rate launched in 1762. She was renamed HMS Princess Royal in 1812, HMS St George later in 1812, and HMS Barfleur in 1819. She was broken up in 1825."
1820,BRITANNIA,"HMS Britannia (1820) was a 120-gun first rate ship of the line launched in 1820. She was a training ship after 1859, and broken up in 1869."
1751,BUCKINGHAM,HMS Buckingham was a 70-gun third rate launched in 1751. She was renamed HMS Grampus in 1777 and was used as a store ship. She foundered in a storm in 1779.
1774,BUCKINGHAM,"HMS Buckingham was a 64-gun third rate launched in 1774 as HMS Eagle. She was used for harbour service from 1790, was renamed HMS Buckingham in 1800 and was broken up in 1812."
1794,BULLDOG,The first Bulldog was a small 4-gun hoy bought in March 1794 and sold later at Jersey in the same year.
1782,BULLDOG,"The second Bull Dog was a 16-gun sloop launched in 1782 but converted to a Royal Navy bomb vessel in 1798. The French captured her in February 1801 when she unwittingly entered the French-held port of Ancona. Boats from HMS Mercury recaptured her in May, but adverse winds prevented her from escaping and the French recaptured her. In September, HMS Champion recaptured her off Gallipoli, Apulia. Bulldog returned to Portsmouth where she became a powder hulk. She was broken up at Portsmouth in December 1829."
1845,BULLDOG,"The third Bulldog was a wooden steam powered paddle sloop launched in 1845 but ran aground in 1865 whilst attacking Haiti as part of a punitive raid against revolutionaries who had seized the British consulate. Unable to get her off of the reef, the British blew her up."
1786,BULLDOG,"Winfield, Rif & Stephen S Roberts (2015) French Warships in the Age of Sail 1786 - 1861: Design Construction, Careers and Fates. (Seaforth Publishing). ISBN 9781848322042"
1752,BURFORD,HMS Burford was a 70-gun third rate launched in 1722 and broken up in 1752.
1757,BURFORD,HMS Burford was a 70-gun third rate launched in 1757 and sold in 1785.
1831,EAGLE,"HMS Firebrand was a wooden paddle vessel launched in 1831. She was rebuilt in 1843, renamed HMS Black Eagle and employed as an Admiralty steam yacht. She was broken up in 1876."
1831,EAGLE,"Built at Merchant's Yard, Limehouse as a wooden paddle vessel, Firebrand was launched on 11 July 1831. In 1832 her original Butterley side lever steam engine was removed and replaced in 1833 by a Maudlsey, and Morgan's paddlewheels were fitted. She was rebuilt in 1843, gaining 13 feet (4.0 m) in length, and receiving a oscillating engine manufactured by John Penn and Sons. Notably, Penn doubled the power output without increasing either the weight or space occupied. Firebrand was renamed Black Eagle on 5 February 1842."
1801,HOUND,HMS Bloodhound was a 12-gun gun-brig launched in 1801 and sold in 1816.
1845,HOUND,HMS Bloodhound was an iron paddle vessel launched in 1845 and broken up in 1866.
1808,CADMUS,"HMS Cadmus was a 10-gun Cherokee-class brig-sloop launched in 1808. She became a Coastguard watch vessel in 1835, was renamed WV24 in 1863 and was sold in 1864."
1795,CALCUTTA,"The first HMS Calcutta was a 54-gun fourth rate, originally the East Indiaman Warley and purchased in 1795, captured by the French in 1805 and destroyed by British ships in 1809."
1831,CALCUTTA,"The second HMS Calcutta was an 84-gun second rate launched in 1831, converted to a gunnery training ship in 1865 and sold in 1908."
1776,CAMEL,"HMS Camel was a 26-gun storeship, formerly the merchant Yorkshire. She was purchased in 1776 and sold in 1784."
1782,CAMEL,"HMS Camel was a 24-gun storeship, originally launched in 1782 as the 44-gun fifth rate HMS Mediator. She was converted to a storeship and renamed Camel in 1788, and was broken up in 1810."
1798,CAMEL,HMS Camel was a storeship purchased in 1798 and sold in 1831.
1813,CAMEL,"HMS Camel was a storeship, formerly the East Indiaman Severn. She was purchased in 1813 and was sold in 1831."
1777,CAMEL,HMS Chameleon was a 14-gun sloop launched in 1777. She foundered in 1780.
1780,CAMEL,"HMS Chameleon was a 16-gun brig-sloop, formerly the civilian ship Hawke. She was purchased in 1780 and sold in 1783."
1795,CAMEL,"HMS Cameleon was an 18-gun brig-sloop launched in 1795, laid up in 1805, and broken up in 1811."
1816,CAMEL,HMS Cameleon was a 10-gun Cherokee class brig-sloop launched in 1816 and sold in 1849.
1794,CAROLINE,"HMS Caroline was a 3-gun gunvessel, formerly a barge, purchased in 1794. She was sold in 1802."
1795,CAROLINE,HMS Caroline was a 36-gun fifth rate launched in 1795 and broken up in 1815.
1803,CAROLINE,"HMS Caroline was a 14-gun brig, formerly the French ship Affronteur, captured in 1803 by HMS Doris, and probably broken up in 1807. Accounts differ as to whether she was commissioned or instead was a hired vessel serving the Royal Navy under contract."
1809,CAROLINE,"HMS Caroline was a schooner, captured from the French in 1809 by HMS Halifax and listed until 1814."
