shipName,company,rank,voyageID,captainName,nationality,rank2,toPlace,captainName2,shipType,fromPlace,voyageStart,WIkiText,CareerStart,CareerEnd,Guns
Argo,RN,Captain,4075,John Bladen Tinker,British,1st Officer/Master,Achin Road,James Reid,6th Rate,Malacca,1763-04-01,HMS Argo (1758) was a 28-gun sixth rate frigate launched in 1758 and broken up by 1776.,1758-01-01,1776-01-01,28
Argo,RN,Captain,4077,John Bladen Tinker,British,1st Officer/Master,Madras,James Reid,6th Rate,Cape of Good Hope,1762-06-10,HMS Argo (1758) was a 28-gun sixth rate frigate launched in 1758 and broken up by 1776.,1758-01-01,1776-01-01,28
Argo,RN,Captain,4079,John Bladen Tinker,British,1st Officer/Master,Madras,James Reid,6th Rate,Achin Road,1763-04-19,HMS Argo (1758) was a 28-gun sixth rate frigate launched in 1758 and broken up by 1776.,1758-01-01,1776-01-01,28
Argo,RN,Captain,4080,Philip Affleck,British,1st Officer/Master,Batavia,James Reid,6th Rate,Calcutta ,1764-12-15,HMS Argo (1758) was a 28-gun sixth rate frigate launched in 1758 and broken up by 1776.,1758-01-01,1776-01-01,28
Argo,RN,Captain,4081,Philip Affleck,British,1st Officer/Master,Canton,James Reid,6th Rate,Batavia,1765-02-23,HMS Argo (1758) was a 28-gun sixth rate frigate launched in 1758 and broken up by 1776.,1758-01-01,1776-01-01,28
Argo,RN,Captain,4082,Philip Affleck,British,1st Officer/Master,Malacca,Henry Chads,6th Rate,Wampoa,1765-11-16,HMS Argo (1758) was a 28-gun sixth rate frigate launched in 1758 and broken up by 1776.,1758-01-01,1776-01-01,28
Argo,RN,Captain,4083,Philip Affleck,British,1st Officer/Master,Madras,Henry Chads,6th Rate,Pulo Perra,1766-01-26,HMS Argo (1758) was a 28-gun sixth rate frigate launched in 1758 and broken up by 1776.,1758-01-01,1776-01-01,28
Argo,RN,Captain,4084,Philip Affleck,British,1st Officer/Master,St Augustine,Henry Chads,6th Rate,Port Louis,1766-07-01,HMS Argo (1758) was a 28-gun sixth rate frigate launched in 1758 and broken up by 1776.,1758-01-01,1776-01-01,28
Argo,RN,Captain,4085,Philip Affleck,British,1st Officer/Master,UK,Henry Chads,6th Rate,St Helena,1767-03-06,HMS Argo (1758) was a 28-gun sixth rate frigate launched in 1758 and broken up by 1776.,1758-01-01,1776-01-01,28
Argo,RN,Captain,4088,Philip Affleck,British,1st Officer/Master,Cape of Good Hope,Henry Chads,6th Rate,St Augustine,1766-10-15,HMS Argo (1758) was a 28-gun sixth rate frigate launched in 1758 and broken up by 1776.,1758-01-01,1776-01-01,28
Argo,RN,Captain,4089,Philip Affleck,British,1st Officer/Master,St Helena,Henry Chads,6th Rate,Cape of Good Hope,1767-01-29,HMS Argo (1758) was a 28-gun sixth rate frigate launched in 1758 and broken up by 1776.,1758-01-01,1776-01-01,28
Argo,RN,Captain,4090,Francis Grant Gordon,British,1st Officer/Master,Antigua,John Plumer Ardesoif,6th Rate,Basse Terre,1775-10-15,HMS Argo (1758) was a 28-gun sixth rate frigate launched in 1758 and broken up by 1776.,1758-01-01,1776-01-01,28
Argo,RN,Captain,4086,John Butchart,British,1st Officer/Master,Goree,Charles Cartwright,6th Rate,Spithead,1782-03-01,HMS Argo (1780) was a schooner purchased in 1780 and sold in 1783.,1780-01-01,1783-01-01,
Argo,RN,Captain,4087,John Butchart,British,1st Officer/Master,Barbados,Charles Cartwright,6th Rate,St Thomas,1782-07-15,HMS Argo (1780) was a schooner purchased in 1780 and sold in 1783.,1780-01-01,1783-01-01,
Argo,RN ,Captain,515,William Clark,British,,Downs,,5th Rate,St Helena,1794-07-02,"HMS Argo (1781) was a 44-gun fifth rate launched in 1781. In 1783, she was captured by two French frigates, but was recaptured two days later by HMS Invincible. She was sold in 1816.",1781-01-01,1816-01-01,44
Argo,RN ,Captain,1104,William Clark,British,,St Helena,,5th rate,Spithead,1794-03-22,"HMS Argo (1781) was a 44-gun fifth rate launched in 1781. In 1783, she was captured by two French frigates, but was recaptured two days later by HMS Invincible. She was sold in 1816.",1781-01-01,1816-01-01,44
Argo,RN,Captain,4092,James Douglas,British,,Plymouth,,6th Rate,Antigua,1784-01-25,"HMS Argo (1781) was a 44-gun fifth rate launched in 1781. In 1783, she was captured by two French frigates, but was recaptured two days later by HMS Invincible. She was sold in 1816.",1781-01-01,1816-01-01,44
Asia,RN,Captain,3315,George Vandeput,British,1st Officer/Master,Teneriffe,Charles Marshall,3rd Rate,Plymouth,1774-03-03,HMS Asia (1764) was a 64-gun third rate launched in 1764 and broken up in 1804.,1764-01-01,1804-01-01,64
Asia,RN,Captain,3316,George Vandeput,British,1st Officer/Master,Plymouth,Charles Marshall,3rd Rate,Teneriffe,1774-04-04,HMS Asia (1764) was a 64-gun third rate launched in 1764 and broken up in 1804.,1764-01-01,1804-01-01,64
Asia,RN,Captain,3317,George Vandeput,British,1st Officer/Master,Portsmouth,William Elleston,3rd Rate,Newport Rhode Island,1777-01-14,HMS Asia (1764) was a 64-gun third rate launched in 1764 and broken up in 1804.,1764-01-01,1804-01-01,64
Asia,RN,Captain,3322,George Vandeput,British,1st Officer/Master,Madeira,David Miller,3rd Rate,Spithead,1778-04-28,HMS Asia (1764) was a 64-gun third rate launched in 1764 and broken up in 1804.,1764-01-01,1804-01-01,64
Asia,RN,Captain,3323,George Vandeput,British,1st Officer/Master,Simon's Bay,David Miller,3rd Rate,Madeira,1778-06-01,HMS Asia (1764) was a 64-gun third rate launched in 1764 and broken up in 1804.,1764-01-01,1804-01-01,64
Asia,RN,Captain,3324,George Vandeput,British,1st Officer/Master,Bombay,David Miller,3rd Rate,Simons Bay,1778-10-12,HMS Asia (1764) was a 64-gun third rate launched in 1764 and broken up in 1804.,1764-01-01,1804-01-01,64
Asia,RN,Captain,3325,George Vandeput,British,1st Officer/Master,Madagascar,David Miller,3rd Rate,Madras,1780-04-25,HMS Asia (1764) was a 64-gun third rate launched in 1764 and broken up in 1804.,1764-01-01,1804-01-01,64
Asia,RN,Captain,3326,George Vandeput,British,1st Officer/Master,Table Bay,David Miller,3rd Rate,Madagascar,1780-07-28,HMS Asia (1764) was a 64-gun third rate launched in 1764 and broken up in 1804.,1764-01-01,1804-01-01,64
Asia,RN,Captain,3327,George Vandeput,British,1st Officer/Master,St Helena,David Miller,3rd Rate,Table Bay,1780-10-13,HMS Asia (1764) was a 64-gun third rate launched in 1764 and broken up in 1804.,1764-01-01,1804-01-01,64
Asia,EIC,,3328,,British,1st Officer/Master,Sumatra,John Davy Foulkes,,Spithead,1785-03-11,HMS Asia (1764) was a 64-gun third rate launched in 1764 and broken up in 1804.,1764-01-01,1804-01-01,64
Asia,EIC,,3329,,British,1st Officer/Master,Spithead,John Davy Foulkes,,Java,1786-04-07,HMS Asia (1764) was a 64-gun third rate launched in 1764 and broken up in 1804.,1764-01-01,1804-01-01,64
Asia,EIC,,3330,,British,1st Officer/Master,Bombay,John Davy Foulkes,,Dunnose,1788-04-06,HMS Asia (1764) was a 64-gun third rate launched in 1764 and broken up in 1804.,1764-01-01,1804-01-01,64
Asia,EIC,Captain,3331,John Davy Foulkes,British,,Blackwall,,,Whampoa,1789-04-30,HMS Asia (1764) was a 64-gun third rate launched in 1764 and broken up in 1804.,1764-01-01,1804-01-01,64
Assistance,RN,Captain,272,William Norton,British,1st Officer/Master,St Helena,Rowland Pigott,4th Rate,Madeira,1762-04-01,HMS Assistance (1747) was a 50-gun fourth rate launched in 1747 and sold in 1773.,1747-01-01,1773-01-01,50
Assistance,RN,Captain,273,John Weller,British,,Barbados,,4th Rate,Princes  ,1757-01-13,HMS Assistance (1747) was a 50-gun fourth rate launched in 1747 and sold in 1773.,1747-01-01,1773-01-01,50
Assistance,RN,Captain,274,William Norton,British,1st Officer/Master,Hampton Road Virginia,John Ides short,4th Rate,Spithead,1761-04-29,HMS Assistance (1747) was a 50-gun fourth rate launched in 1747 and sold in 1773.,1747-01-01,1773-01-01,50
Assistance,RN,Captain,275,William Norton,British,1st Officer/Master,Downs UK,Rowland Pigott,4th Rate,St Helena,1762-06-18,HMS Assistance (1747) was a 50-gun fourth rate launched in 1747 and sold in 1773.,1747-01-01,1773-01-01,50
Assistance,RN,Captain,276,John Weller,British,1st Officer/Master,Cape Coast,David Shuckforth,4th Rate,Plymouth,1756-05-03,HMS Assistance (1747) was a 50-gun fourth rate launched in 1747 and sold in 1773.,1747-01-01,1773-01-01,50
Assistance,RN,Captain,277,John Weller,British,,Princes Island,,4th Rate,Cape Coast,1756-12-23,HMS Assistance (1747) was a 50-gun fourth rate launched in 1747 and sold in 1773.,1747-01-01,1773-01-01,50
Assistance,RN,Captain,278,William Norton,British,1st Officer/Master,Portsmouth,John Ides short,4th Rate,Virginia,1761-10-17,HMS Assistance (1747) was a 50-gun fourth rate launched in 1747 and sold in 1773.,1747-01-01,1773-01-01,50
Assistance,RN,Captain,279,William Norton,British,1st Officer/Master,St Helena,John Ides short,4th Rate,Madeira,1762-04-01,HMS Assistance (1747) was a 50-gun fourth rate launched in 1747 and sold in 1773.,1747-01-01,1773-01-01,50
Assurance,RN,,230,,British,,Madeira,,5th Rate,Plymouth,1751-10-22,HMS Assurance (1747) was a 44-gun fifth rate frigate launched in 1747 and wrecked in 1753.,1747-01-01,1753-01-01,44
Assurance,RN,,231,,British,,Sierra Leone,,5th Rate,Port Praya,1751-11-01,HMS Assurance (1747) was a 44-gun fifth rate frigate launched in 1747 and wrecked in 1753.,1747-01-01,1753-01-01,44
Assurance,RN,,233,,British,Author,Spithead,John Spiller,5th Rate,Cadiz,1750-01-01,HMS Assurance (1747) was a 44-gun fifth rate frigate launched in 1747 and wrecked in 1753.,1747-01-01,1753-01-01,44
Assurance,RN,Captain,229,James Cumming,British,1st Officer/Master,Charlestown,L Ryall,5th Rate,Cork ,1780-12-02,HMS Assurance (1780) was a 44-gun fifth rate frigate launched in 1780 and broken up in 1815.,1780-01-01,1815-01-01,44
Atlas,EIC,Captain,1105,Allen Cooper,British,,Java,,,Gravesend,1785-04-10,"HMS Atlas (1782), a second rate ship of the line launched in 1782 and broken up in 1821.",1782-01-01,1821-01-01,
Atlas,EIC,Captain,1106,Allen Cooper,British,,Gravesend,,,Java Head,1786-02-03,"HMS Atlas (1782), a second rate ship of the line launched in 1782 and broken up in 1821.",1782-01-01,1821-01-01,
Augusta,EIC,Captain,2940,Thomas Parker,British,,Deptford,,,Canton,1751-01-05,HMS Augusta (1736) was a 60-gun fourth rate launched in 1736 and broken up by 1765.,1736-01-01,1765-01-01,60
Aurora,RN,Captain,3943,Samuel Scott,British,,Gibraltar,,5th Rate,Spithead,1759-07-07,"HMS Aurora 1757 was a 36-gun fifth rate, formerly the French Abenakise. She was captured in 1757 and broken up in 1763.",1757-01-01,1763-01-01,36
Aurora,EIC,Captain,1107,Mungo Gilmore,British,1st Officer/Master,St Helena,William Robb,,Kedgeree,1801-04-11,HMS Aurora (1777) was a 28-gun sixth rate launched in 1777 and sold in 1814.,1777-01-01,1814-01-01,28
Aurora,RN,Captain,3945,James Cumming,British,1st Officer/Master,Barbados,John Nicholas,5th Rate,Yarmouth,1777-12-10,HMS Aurora (1777) was a 28-gun sixth rate launched in 1777 and sold in 1814.,1777-01-01,1814-01-01,28
Aurora,RN,Captain,3946,James Cumming,British,1st Officer/Master,Antigua,John Nicholas,5th Rate,"English Bay, Antigua",1778-05-18,HMS Aurora (1777) was a 28-gun sixth rate launched in 1777 and sold in 1814.,1777-01-01,1814-01-01,28
Aurora,RN,Captain,3947,James Cumming,British,1st Officer/Master,Carlise Bay Barbados,Henry Inman,5th Rate,Barbados (Cruising),1779-02-04,HMS Aurora (1777) was a 28-gun sixth rate launched in 1777 and sold in 1814.,1777-01-01,1814-01-01,28
Aurora,RN,Captain,3948,James Cumming,British,,Barbados,,5th Rate,Antigua,1779-07-01,HMS Aurora (1777) was a 28-gun sixth rate launched in 1777 and sold in 1814.,1777-01-01,1814-01-01,28
Aurora,RN,Captain,3949,James Cumming,British,,Downs UK,,5th Rate,Barbados,1779-08-30,HMS Aurora (1777) was a 28-gun sixth rate launched in 1777 and sold in 1814.,1777-01-01,1814-01-01,28
Badger,RN,Captain,197,Thomas Hankenson,British,1st Officer/Master,Searching for an island,Francis Swanston,Snow,Cape Clear,1751-06-21,HMS Badger (1745) was a 14-gun sloop launched in 1745 and lost in 1762.,1745-01-01,1762-01-01,14
Badger,RN,Captain,198,Thomas Hankenson,British,1st Officer/Master,Madeira,Francis Swanston,Snow,Portsmouth,1751-12-06,HMS Badger (1745) was a 14-gun sloop launched in 1745 and lost in 1762.,1745-01-01,1762-01-01,14
Badger,RN,Captain,199,Thomas Hankenson,British,1st Officer/Master,UK,Francis Swanston,Snow,Accraw,1752-02-21,HMS Badger (1745) was a 14-gun sloop launched in 1745 and lost in 1762.,1745-01-01,1762-01-01,14
Badger,RN,Captain,200,Thomas Hankenson,British,1st Officer/Master,Madeira,Francis Swanston,Snow,Kinsale (Eire),1752-07-07,HMS Badger (1745) was a 14-gun sloop launched in 1745 and lost in 1762.,1745-01-01,1762-01-01,14
Badger,RN,Captain,202,Thomas Hankenson,British,1st Officer/Master,River Gambia,Francis Swanston,Snow,Madeira,1752-07-25,HMS Badger (1745) was a 14-gun sloop launched in 1745 and lost in 1762.,1745-01-01,1762-01-01,14
Badger,RN,Captain,204,Thomas Hankenson,British,1st Officer/Master,River Serralione,Francis Swanston,Snow,River Gambia,1752-08-26,HMS Badger (1745) was a 14-gun sloop launched in 1745 and lost in 1762.,1745-01-01,1762-01-01,14
Badger,RN,Captain,206,Thomas Hankenson,British,1st Officer/Master,Cape Mount,Francis Swanston,Snow,River Serralione,1752-09-30,HMS Badger (1745) was a 14-gun sloop launched in 1745 and lost in 1762.,1745-01-01,1762-01-01,14
Badger,RN,Captain,208,Thomas Hankenson,British,1st Officer/Master,Cape Moniferado,Francis Swanston,Snow,Cape Mount,1752-10-13,HMS Badger (1745) was a 14-gun sloop launched in 1745 and lost in 1762.,1745-01-01,1762-01-01,14
Badger,RN,Captain,210,Thomas Hankenson,British,1st Officer/Master,Crew Setra,Francis Swanston,Snow,Cape Moniferado,1752-10-20,HMS Badger (1745) was a 14-gun sloop launched in 1745 and lost in 1762.,1745-01-01,1762-01-01,14
Badger,RN,Captain,212,Thomas Hankenson,British,1st Officer/Master,Dixcove,Francis Swanston,Snow,Crew Setra,1752-10-24,HMS Badger (1745) was a 14-gun sloop launched in 1745 and lost in 1762.,1745-01-01,1762-01-01,14
Badger,RN,Captain,216,Thomas Hankenson,British,1st Officer/Master,St Thomas,Francis Swanston,Snow,Accraw,1752-12-25,HMS Badger (1745) was a 14-gun sloop launched in 1745 and lost in 1762.,1745-01-01,1762-01-01,14
Badger,RN,Captain,218,Thomas Hankenson,British,1st Officer/Master,Barbados,Francis Swanston,Snow,St Thomas,1753-01-17,HMS Badger (1745) was a 14-gun sloop launched in 1745 and lost in 1762.,1745-01-01,1762-01-01,14
Badger,RN,Captain,219,Thomas Hankenson,British,1st Officer/Master,Lizard,Francis Swanston,Snow,Antigua,1755-08-15,HMS Badger (1745) was a 14-gun sloop launched in 1745 and lost in 1762.,1745-01-01,1762-01-01,14
Badger,RN,Captain,334,Thomas Hankenson,British,1st Officer/Master,Accraw,Francis Swanston,Snow,Madeira,1752-01-16,HMS Badger (1745) was a 14-gun sloop launched in 1745 and lost in 1762.,1745-01-01,1762-01-01,14
Beaver,RN,Captain,3922,Edward Gascoigne,British,,Hampton Road Virginia,,Sloop,Madeira,1758-01-22,"HMS Beaver (1757), 18, a sloop originally called Trudaine and operating as a French privateer, but captured in 1757 and renamed before being sold in 1761.",1757-01-01,1761-01-01,
Beaver,RN,Captain,3923,Edward Gascoigne,British,,Halifax,,Sloop,Fort William,1758-05-29,"HMS Beaver (1757), 18, a sloop originally called Trudaine and operating as a French privateer, but captured in 1757 and renamed before being sold in 1761.",1757-01-01,1761-01-01,
Beaver,RN,Captain,3930,Edward Gascoigne,British,,Madeira,,Sloop,Plymouth,1758-01-01,"HMS Beaver (1757), 18, a sloop originally called Trudaine and operating as a French privateer, but captured in 1757 and renamed before being sold in 1761.",1757-01-01,1761-01-01,
